Section,Table,Category,Parameter,Value,Notes
Tokenomics,Token Allocation,Foundation Reserve,"Purpose","Future initiatives, strategic partnerships",
Tokenomics,Token Allocation,TOTAL,"%",100%,
Tokenomics,Token Allocation,TOTAL,"Total Tokens","10,000,000,000",
Tokenomics,Token Allocation,TOTAL,"TGE Unlock","3.5%",
Tokenomics,Token Allocation,TOTAL,"TGE Unlock Tokens","350,000,000",

Public Sale Breakdown,Public Sale Components,Community Round (Echo),"% of Total",4.00%,
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"Tokens",400,000,000,
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"TGE Unlock",25%,
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"TGE Unlock Tokens",100,000,000,
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"Vesting","24 months, 0 cliff, 75% over 18mo",
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"Fundraising Target","$6,000,000 @ $150M",
Public Sale Breakdown,Public Sale Components,Community Round (Echo),"Purpose","Early supporters, community building",
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"% of Total",1.75%,
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"Tokens",175,000,000,
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"TGE Unlock",25%,
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"TGE Unlock Tokens",43,750,000,
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"Vesting","24 months, 0 cliff, 75% over 18mo",
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"Fundraising Target","$5,250,000 @ $300M",
Public Sale Breakdown,Public Sale Components,Exchange Sale (Binance),"Purpose","Liquidity distribution, exchange partnership",
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"% of Total",3.00%,
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"Tokens",300,000,000,
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"TGE Unlock",25%,
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"TGE Unlock Tokens",75,000,000,
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"Vesting","6 months linear",
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"Fundraising Target","Not for sale",
Public Sale Breakdown,Public Sale Components,Airdrop ("Seals" Program),"Purpose","Community incentives, testnet participants",
Public Sale Breakdown,Public Sale Components,Reserve for Future,"% of Total",1.25%,
Public Sale Breakdown,Public Sale Components,Reserve for Future,"Tokens",125,000,000,
Public Sale Breakdown,Public Sale Components,Reserve for Future,"TGE Unlock",0%,
Public Sale Breakdown,Public Sale Components,Reserve for Future,"Vesting","TBD",
Public Sale Breakdown,Public Sale Components,Reserve for Future,"Purpose","Future campaigns",
Public Sale Breakdown,Public Sale Components,TOTAL,"% of Total",10.00%,
Public Sale Breakdown,Public Sale Components,TOTAL,"Tokens",1,000,000,000,
Public Sale Breakdown,Public Sale Components,TOTAL,"TGE Unlock","21.9%",
Public Sale Breakdown,Public Sale Components,TOTAL,"TGE Unlock Tokens",218,750,000,
Public Sale Breakdown,Public Sale Components,TOTAL,"Total Fundraising","$11,250,000",

Strategic Investor Breakdown,Strategic Components,Seed Round,"% of Total",1.00%,
Strategic Investor Breakdown,Strategic Components,Seed Round,"Tokens",100,000,000,
Strategic Investor Breakdown,Strategic Components,Seed Round,"TGE Unlock",0%,
Strategic Investor Breakdown,Strategic Components,Seed Round,"Vesting","12mo cliff + 36mo linear",
Strategic Investor Breakdown,Strategic Components,Seed Round,"Fundraising Target","$1,000,000 @ $100M",
Strategic Investor Breakdown,Strategic Components,Seed Round,"Purpose","Friends & family, initial capital",
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","% of Total",0.75%,
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","Tokens",75,000,000,
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","TGE Unlock",0%,
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","Vesting","12mo cliff + 36mo linear",
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","Fundraising Target","$1,875,000 @ $250M",
Strategic Investor Breakdown,Strategic Components,"Strategic Round (Corporate/Sovereign)","Purpose","Enterprise partners, sovereign funds",
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","% of Total",0.75%,
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","Tokens",75,000,000,
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","TGE Unlock",0%,
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","Vesting","12mo cliff",
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","Fundraising Target","$1,875,000 @ $250M",
Strategic Investor Breakdown,Strategic Components,"Binance Strategic Allocation","Purpose","Exchange partnership guarantee",
Strategic Investor Breakdown,Strategic Components,"Reserve for Future","% of Total",2.50%,
Strategic Investor Breakdown,Strategic Components,"Reserve for Future","Tokens",250,000,000,
Strategic Investor Breakdown,Strategic Components,"Reserve for Future","TGE Unlock",0%,
Strategic Investor Breakdown,Strategic Components,"Reserve for Future","Vesting","TBD",
Strategic Investor Breakdown,Strategic Components,"Reserve for Future","Purpose","Additional strategic partners",
Strategic Investor Breakdown,Strategic Components,TOTAL,"% of Total",5.00%,
Strategic Investor Breakdown,Strategic Components,TOTAL,"Tokens",500,000,000,
Strategic Investor Breakdown,Strategic Components,TOTAL,"TGE Unlock",0%,
Strategic Investor Breakdown,Strategic Components,TOTAL,"Total Fundraising","$4,750,000",

Complete Fundraising,All Rounds,Seed Round,"Timing","Feb-Mar 2026",
Complete Fundraising,All Rounds,Seed Round,"Source","Friends & Family",
Complete Fundraising,All Rounds,Seed Round,"Target Raise","$1,000,000",
Complete Fundraising,All Rounds,Seed Round,"FDV","$100M",
Complete Fundraising,All Rounds,Seed Round,"Token Price","$0.01",
Complete Fundraising,All Rounds,Seed Round,"Tokens Sold",100,000,000,
Complete Fundraising,All Rounds,Seed Round,"% of Supply","1.00%",
Complete Fundraising,All Rounds,Seed Round,"Cumulative %","1.00%",
Complete Fundraising,All Rounds,Seed Round,"From Allocation","Strategic Investors",
Complete Fundraising,All Rounds,"Community Round","Timing","May-Jun 2026",
Complete Fundraising,All Rounds,"Community Round","Source","Echo Platform",
Complete Fundraising,All Rounds,"Community Round","Target Raise","$6,000,000",
Complete Fundraising,All Rounds,"Community Round","FDV","$150M",
Complete Fundraising,All Rounds,"Community Round","Token Price","$0.015",
Complete Fundraising,All Rounds,"Community Round","Tokens Sold",400,000,000,
Complete Fundraising,All Rounds,"Community Round","% of Supply","4.00%",
Complete Fundraising,All Rounds,"Community Round","Cumulative %","5.00%",
Complete Fundraising,All Rounds,"Community Round","From Allocation","Public Sale - Echo",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Timing","Aug-Sep 2026",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Source","Corporate/Sovereign",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Target Raise","$1,875,000",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","FDV","$250M",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Token Price","$0.025",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Tokens Sold",75,000,000,
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","% of Supply","0.75%",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","Cumulative %","5.75%",
Complete Fundraising,All Rounds,"Strategic Round (Corporate)","From Allocation","Strategic Investors",
Complete Fundraising,All Rounds,"Binance Strategic","Timing","Aug-Sep 2026",
Complete Fundraising,All Rounds,"Binance Strategic","Source","Binance",
Complete Fundraising,All Rounds,"Binance Strategic","Target Raise","$1,875,000",
Complete Fundraising,All Rounds,"Binance Strategic","FDV","$250M",
Complete Fundraising,All Rounds,"Binance Strategic","Token Price","$0.025",
Complete Fundraising,All Rounds,"Binance Strategic","Tokens Sold",75,000,000,
Complete Fundraising,All Rounds,"Binance Strategic","% of Supply","0.75%",
Complete Fundraising,All Rounds,"Binance Strategic","Cumulative %","6.50%",
Complete Fundraising,All Rounds,"Binance Strategic","From Allocation","Strategic Investors",
Complete Fundraising,All Rounds,"Exchange Sale","Timing","Oct-Nov 2026",
Complete Fundraising,All Rounds,"Exchange Sale","Source","Binance Prime",
Complete Fundraising,All Rounds,"Exchange Sale","Target Raise","$5,250,000",
Complete Fundraising,All Rounds,"Exchange Sale","FDV","$300M",
Complete Fundraising,All Rounds,"Exchange Sale","Token Price","$0.03",
Complete Fundraising,All Rounds,"Exchange Sale","Tokens Sold",175,000,000,
Complete Fundraising,All Rounds,"Exchange Sale","% of Supply","1.75%",
Complete Fundraising,All Rounds,"Exchange Sale","Cumulative %","8.25%",
Complete Fundraising,All Rounds,"Exchange Sale","From Allocation","Public Sale - Exchange",
Complete Fundraising,All Rounds,TOTAL,"Total Raise","$16,000,000",
Complete Fundraising,All Rounds,TOTAL,"Total Tokens Sold",825,000,000,
Complete Fundraising,All Rounds,TOTAL,"Total % of Supply","8.25%",

Airdrop Strategy,Seals Points Program,Activity,"Testnet validator operation","Seals Points: 1,000 per month","Infrastructure contribution",
Airdrop Strategy,Seals Points Program,Activity,"Bug bounty submission","Seals Points: 500-5,000","Security contribution",
Airdrop Strategy,Seals Points Program,Activity,"SDK download + test","Seals Points: 100","Developer adoption",
Airdrop Strategy,Seals Points Program,Activity,"dApp deployment on testnet","Seals Points: 2,000","Ecosystem building",
Airdrop Strategy,Seals Points Program,Activity,"Meaningful Discord participation","Seals Points: 10-50 per week","Community engagement",
Airdrop Strategy,Seals Points Program,Activity,"Referral (qualified)","Seals Points: 100 per referral","Organic growth",
Airdrop Strategy,Seals Points Program,Activity,"Early Echo registration","Seals Points: 5,000 bonus","Community round alignment",
Airdrop Strategy,Airdrop Tiers,Diamond,"Points Required","10,000+",
Airdrop Strategy,Airdrop Tiers,Diamond,"Airdrop Amount",50,000,
Airdrop Strategy,Airdrop Tiers,Diamond,"Est. Users",500,
Airdrop Strategy,Airdrop Tiers,Diamond,"Total Tokens",25,000,000,
Airdrop Strategy,Airdrop Tiers,Gold,"Points Required","5,000-9,999",
Airdrop Strategy,Airdrop Tiers,Gold,"Airdrop Amount",20,000,
Airdrop Strategy,Airdrop Tiers,Gold,"Est. Users",2,000,
Airdrop Strategy,Airdrop Tiers,Gold,"Total Tokens",40,000,000,
Airdrop Strategy,Airdrop Tiers,Silver,"Points Required","1,000-4,999",
Airdrop Strategy,Airdrop Tiers,Silver,"Airdrop Amount",5,000,
Airdrop Strategy,Airdrop Tiers,Silver,"Est. Users",10,000,
Airdrop Strategy,Airdrop Tiers,Silver,"Total Tokens",50,000,000,
Airdrop Strategy,Airdrop Tiers,Bronze,"Points Required","100-999",
Airdrop Strategy,Airdrop Tiers,Bronze,"Airdrop Amount",500,
Airdrop Strategy,Airdrop Tiers,Bronze,"Est. Users",50,000,
Airdrop Strategy,Airdrop Tiers,Bronze,"Total Tokens",25,000,000,
Airdrop Strategy,Airdrop Tiers,TOTAL,"Est. Users Total",62,500,
Airdrop Strategy,Airdrop Tiers,TOTAL,"Total Tokens Allocated",140,000,000,
Airdrop Strategy,Airdrop Tiers,TOTAL,"Remaining Tokens",160,000,000,"For ongoing incentives",
Airdrop Strategy,Airdrop Parameters,Parameter,"Total Allocation",300,000,000,"3% of supply",
Airdrop Strategy,Airdrop Parameters,Parameter,"TGE Unlock","25%",75,000,000,
Airdrop Strategy,Airdrop Parameters,Parameter,"Remaining Vesting","6 months linear",
Airdrop Strategy,Airdrop Parameters,Parameter,"Source","Public Sale bucket (10%)",

Token Unlock Schedule,Monthly Unlock,Month,"TGE","PoUW Rewards: 0, Core Contributors: 0, Ecosystem: 75M, Labs: 0, Public: 218.75M, Strategic: 0, Insurance: 50M, Foundation: 0, Total: 343.75M, Cumulative: 343.75M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 1","PoUW: 25M, Public: 41.67M, Insurance: 15M, Total: 81.67M, Cumulative: 425.42M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 2","81.67M, Cumulative: 507.08M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 3","81.67M, Cumulative: 588.75M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 4","81.67M, Cumulative: 670.42M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 5","81.67M, Cumulative: 752.08M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 6","105.42M, Cumulative: 857.50M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 7","105.42M, Cumulative: 962.92M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 8","105.42M, Cumulative: 1,068.33M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 9","105.42M, Cumulative: 1,173.75M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 10","105.42M, Cumulative: 1,279.17M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 11","105.42M, Cumulative: 1,384.58M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 12","641.88M, Cumulative: 2,026.46M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 13","183.54M, Cumulative: 2,210.00M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 14","183.54M, Cumulative: 2,393.54M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 15","183.54M, Cumulative: 2,577.08M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 16","183.54M, Cumulative: 2,760.63M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 17","183.54M, Cumulative: 2,944.17M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 18","183.54M, Cumulative: 3,127.71M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 19","141.88M, Cumulative: 3,269.58M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 20","141.88M, Cumulative: 3,411.46M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 21","141.88M, Cumulative: 3,553.33M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 22","141.88M, Cumulative: 3,695.21M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 23","141.88M, Cumulative: 3,837.08M",
Token Unlock Schedule,Monthly Unlock,Month,"Month 24","141.88M, Cumulative: 3,978.96M",

Key Milestones,Unlock Milestones,Milestone,"TGE","Cumulative Unlocked: 343.75M, % of Supply: 3.44%",
Key Milestones,Unlock Milestones,Milestone,"6 Months","Cumulative Unlocked: 857.50M, % of Supply: 8.58%",
Key Milestones,Unlock Milestones,Milestone,"12 Months","Cumulative Unlocked: 2,026.46M, % of Supply: 20.26%",
Key Milestones,Unlock Milestones,Milestone,"18 Months","Cumulative Unlocked: 3,127.71M, % of Supply: 31.28%",
Key Milestones,Unlock Milestones,Milestone,"24 Months","Cumulative Unlocked: 3,978.96M, % of Supply: 39.79%",
Key Milestones,Unlock Milestones,Milestone,"36 Months","Cumulative Unlocked: 5,642.29M, % of Supply: 56.42%",
Key Milestones,Unlock Milestones,Milestone,"48 Months","Cumulative Unlocked: 6,777.29M, % of Supply: 67.77%",
Key Milestones,Unlock Milestones,Milestone,"60 Months","Cumulative Unlocked: 7,589.79M, % of Supply: 75.90%",
Key Milestones,Unlock Milestones,Milestone,"120 Months","Cumulative Unlocked: 10,000.00M, % of Supply: 100%",

Valuation Ladder,Stages,Stage,"Seed","FDV: $100M, Raise: $1.0M, Tokens: 100M, Price: $0.01, Multiple to TGE: 30x",
Valuation Ladder,Stages,Stage,"Community","FDV: $150M, Raise: $6.0M, Tokens: 400M, Price: $0.015, Multiple to TGE: 20x",
Valuation Ladder,Stages,Stage,"Strategic","FDV: $250M, Raise: $3.75M, Tokens: 150M, Price: $0.025, Multiple to TGE: 12x",
Valuation Ladder,Stages,Stage,"Exchange","FDV: $300M, Raise: $5.25M, Tokens: 175M, Price: $0.03, Multiple to TGE: 10x",
Valuation Ladder,Stages,Stage,"TGE","FDV: $3,000M, Price: $0.30",

Critical Path Timeline,March 1 2026,Enterprise,"Finalize M42/FAB/EDGE LOIs",,
Critical Path Timeline,March 1 2026,Community,"LAUNCH 'SEALS' POINTS PROGRAM",,
Critical Path Timeline,March 2026,Enterprise,"Close Seed Round @ $100M",,
Critical Path Timeline,March 2026,Community,"Build Discord infrastructure",,
Critical Path Timeline,April 1 2026,Enterprise,"Testnet infrastructure ready",,
Critical Path Timeline,April 1 2026,Community,"Points begin accruing",,
Critical Path Timeline,May-Jun 2026,Enterprise,"Strategic investor outreach",,
Critical Path Timeline,May-Jun 2026,Community,"Echo round @ $150M (400M tokens)",,
Critical Path Timeline,July 2026,Enterprise,"Trail of Bits audit complete",,
Critical Path Timeline,July 2026,Community,"Points leaderboard visible",,
Critical Path Timeline,August 2026,Enterprise,"Binance strategic allocation signed",,
Critical Path Timeline,August 2026,Community,"5,000+ active point earners",,
Critical Path Timeline,September 2026,Enterprise,"Strategic Round closes",,
Critical Path Timeline,September 2026,Community,"Validator applicants: 500+",,
Critical Path Timeline,October 2026,Enterprise,"Enterprise partnerships announced",,
Critical Path Timeline,October 2026,Community,"Binance Prime Sale @ $300M",,
Critical Path Timeline,November 2026,Enterprise,"Prime Sale completes (2-hour sellout)",,
Critical Path Timeline,November 2026,Community,"Airdrop snapshot taken",,
Critical Path Timeline,December 7-10 2026,Enterprise,"TGE @ ADFW @ $3B",,
Critical Path Timeline,December 7-10 2026,Community,"Airdrop distributed",,

Fallback Plan,$1B Path,Exchange Sale,"FDV: $375M, Raise: $4.0M, Tokens: 106.67M",,
Fallback Plan,$1B Path,Airdrop,"Allocation: 200M (2%)",,
Fallback Plan,$1B Path,TOTAL,"Total Raise: $13.5M, Total Tokens: ~640M, % of Supply: 6.4%",,
Fallback Plan,$1B Path,TGE FDV,"$1,000,000,000",,

Final Verification,Metric,Value,Verification Formula,Notes
